date,commodity,admin1,unit,pricetype,predicted_price
2023-09-01,Cassava,BRONG AHAFO,91 KG,Wholesale,810.3701977856367
2023-10-01,Cassava,BRONG AHAFO,91 KG,Wholesale,810.3701977856367
2023-11-01,Cassava,BRONG AHAFO,91 KG,Wholesale,810.3701977856367
2023-12-01,Cassava,BRONG AHAFO,91 KG,Wholesale,810.3701977856367
2024-01-01,Cassava,BRONG AHAFO,91 KG,Wholesale,701.9265521366757
2024-02-01,Cassava,BRONG AHAFO,91 KG,Wholesale,753.6842565609951
2023-09-01,Cowpeas,BRONG AHAFO,KG,Retail,7.233032224404621
2023-10-01,Cowpeas,BRONG AHAFO,KG,Retail,7.233032224404621
2023-11-01,Cowpeas,BRONG AHAFO,KG,Retail,7.233032224404621
2023-12-01,Cowpeas,BRONG AHAFO,KG,Retail,7.233032224404621
2024-01-01,Cowpeas,BRONG AHAFO,KG,Retail,7.282376538060698
2024-02-01,Cowpeas,BRONG AHAFO,KG,Retail,7.282376538060698
2023-09-01,Cowpeas (white),GREATER ACCRA,109 KG,Wholesale,520.787363736657
2023-10-01,Cowpeas (white),GREATER ACCRA,109 KG,Wholesale,520.787363736657
2023-11-01,Cowpeas (white),GREATER ACCRA,109 KG,Wholesale,520.787363736657
2023-12-01,Cowpeas (white),GREATER ACCRA,109 KG,Wholesale,520.787363736657
2024-01-01,Cowpeas (white),GREATER ACCRA,109 KG,Wholesale,520.787363736657
2024-02-01,Cowpeas (white),GREATER ACCRA,109 KG,Wholesale,520.787363736657
2023-09-01,Eggplants,BRONG AHAFO,KG,Retail,7.126547777869649
2023-10-01,Eggplants,BRONG AHAFO,KG,Retail,7.126547777869649
2023-11-01,Eggplants,BRONG AHAFO,KG,Retail,7.126547777869649
2023-12-01,Eggplants,BRONG AHAFO,KG,Retail,7.126547777869649
2024-01-01,Eggplants,BRONG AHAFO,KG,Retail,7.175892091525728
2024-02-01,Eggplants,BRONG AHAFO,KG,Retail,7.175892091525728
2023-09-01,Eggs,BRONG AHAFO,30 pcs,Wholesale,794.0251022329608
