date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice,exchange_rate_buying,Crud_Price_Monthly_Average,Crude_price_GHS
1/15/2006,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Cassava,68,91 KG,actual,Wholesale,GHS,10.31,11.21,0.9020617,63.86,57.60566016
1/15/2006,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,25.4,27.61,0.9020617,63.86,57.60566016
1/15/2006,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Rice (local),71,50 KG,actual,Wholesale,GHS,33.06,35.93,0.9020617,63.86,57.60566016
1/15/2006,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Sorghum,65,109 KG,actual,Wholesale,GHS,38.25,41.58,0.9020617,63.86,57.60566016
1/15/2006,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Yam,99,250 KG,actual,Wholesale,GHS,63.38,68.89,0.9020617,63.86,57.60566016
1/15/2006,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,218,7.58,-1.93,cereals and tubers,Cassava,68,91 KG,actual,Wholesale,GHS,16,17.39,0.9020617,63.86,57.60566016
1/15/2006,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,218,7.58,-1.93,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,16.15,17.55,0.9020617,63.86,57.60566016
1/15/2006,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,218,7.58,-1.93,cereals and tubers,Millet,73,93 KG,actual,Wholesale,GHS,32.5,35.33,0.9020617,63.86,57.60566016
1/15/2006,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,218,7.58,-1.93,cereals and tubers,Rice (local),71,50 KG,actual,Wholesale,GHS,21.56,23.43,0.9020617,63.86,57.60566016
1/15/2006,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,218,7.58,-1.93,cereals and tubers,Sorghum,65,109 KG,actual,Wholesale,GHS,34.5,37.5,0.9020617,63.86,57.60566016
1/15/2006,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,218,7.58,-1.93,cereals and tubers,Yam,99,250 KG,actual,Wholesale,GHS,70,76.09,0.9020617,63.86,57.60566016
1/15/2006,GREATER ACCRA,ACCRA METROPOLIS,Accra,209,5.55,-0.22,cereals and tubers,Cassava,68,91 KG,actual,Wholesale,GHS,13.9,15.11,0.9020617,63.86,57.60566016
1/15/2006,GREATER ACCRA,ACCRA METROPOLIS,Accra,209,5.55,-0.22,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,28.2,30.65,0.9020617,63.86,57.60566016
1/15/2006,GREATER ACCRA,ACCRA METROPOLIS,Accra,209,5.55,-0.22,cereals and tubers,Millet,73,93 KG,actual,Wholesale,GHS,50.23,54.6,0.9020617,63.86,57.60566016
1/15/2006,GREATER ACCRA,ACCRA METROPOLIS,Accra,209,5.55,-0.22,cereals and tubers,Rice (local),71,50 KG,actual,Wholesale,GHS,26,28.26,0.9020617,63.86,57.60566016
1/15/2006,GREATER ACCRA,ACCRA METROPOLIS,Accra,209,5.55,-0.22,cereals and tubers,Sorghum,65,109 KG,actual,Wholesale,GHS,47.95,52.12,0.9020617,63.86,57.60566016
1/15/2006,GREATER ACCRA,ACCRA METROPOLIS,Accra,209,5.55,-0.22,cereals and tubers,Yam,99,250 KG,actual,Wholesale,GHS,57.75,62.77,0.9020617,63.86,57.60566016
1/15/2006,NORTHERN,TAMALE NORTH SUB METRO,Tamale,220,9.4,-0.83,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,20.75,22.55,0.9020617,63.86,57.60566016
1/15/2006,NORTHERN,TAMALE NORTH SUB METRO,Tamale,220,9.4,-0.83,cereals and tubers,Millet,73,93 KG,actual,Wholesale,GHS,30,32.61,0.9020617,63.86,57.60566016
1/15/2006,NORTHERN,TAMALE NORTH SUB METRO,Tamale,220,9.4,-0.83,cereals and tubers,Rice (local),71,50 KG,actual,Wholesale,GHS,20,21.74,0.9020617,63.86,57.60566016
1/15/2006,NORTHERN,TAMALE NORTH SUB METRO,Tamale,220,9.4,-0.83,cereals and tubers,Sorghum,65,109 KG,actual,Wholesale,GHS,21,22.83,0.9020617,63.86,57.60566016
1/15/2006,NORTHERN,TAMALE NORTH SUB METRO,Tamale,220,9.4,-0.83,cereals and tubers,Yam,99,250 KG,actual,Wholesale,GHS,51.75,56.25,0.9020617,63.86,57.60566016
1/15/2006,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,221,10.79,-0.85,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,22,23.91,0.9020617,63.86,57.60566016
1/15/2006,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,221,10.79,-0.85,cereals and tubers,Millet,73,93 KG,actual,Wholesale,GHS,27.25,29.62,0.9020617,63.86,57.60566016
1/15/2006,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,221,10.79,-0.85,cereals and tubers,Rice (local),71,50 KG,actual,Wholesale,GHS,28.5,30.98,0.9020617,63.86,57.60566016
1/15/2006,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,221,10.79,-0.85,cereals and tubers,Sorghum,65,109 KG,actual,Wholesale,GHS,25,27.17,0.9020617,63.86,57.60566016
1/15/2006,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,221,10.79,-0.85,cereals and tubers,Yam,99,250 KG,actual,Wholesale,GHS,40,43.48,0.9020617,63.86,57.60566016
1/15/2006,UPPER WEST,WA MUNICIPAL,Wa,222,10.05,-2.48,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,21.4,23.26,0.9020617,63.86,57.60566016
1/15/2006,UPPER WEST,WA MUNICIPAL,Wa,222,10.05,-2.48,cereals and tubers,Millet,73,93 KG,actual,Wholesale,GHS,30.85,33.53,0.9020617,63.86,57.60566016
1/15/2006,UPPER WEST,WA MUNICIPAL,Wa,222,10.05,-2.48,cereals and tubers,Rice (local),71,50 KG,actual,Wholesale,GHS,26.07,28.34,0.9020617,63.86,57.60566016
1/15/2006,UPPER WEST,WA MUNICIPAL,Wa,222,10.05,-2.48,cereals and tubers,Sorghum,65,109 KG,actual,Wholesale,GHS,31.13,33.84,0.9020617,63.86,57.60566016
1/15/2006,UPPER WEST,WA MUNICIPAL,Wa,222,10.05,-2.48,cereals and tubers,Yam,99,250 KG,actual,Wholesale,GHS,49,53.26,0.9020617,63.86,57.60566016
2/15/2006,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Cassava,68,91 KG,actual,Wholesale,GHS,11,11.96,0.90256835,61.1,55.14692618
2/15/2006,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,21.75,23.64,0.90256835,61.1,55.14692618
2/15/2006,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Millet,73,93 KG,actual,Wholesale,GHS,40.25,43.75,0.90256835,61.1,55.14692618
2/15/2006,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Rice (local),71,50 KG,actual,Wholesale,GHS,33.63,36.55,0.90256835,61.1,55.14692618
2/15/2006,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Sorghum,65,109 KG,actual,Wholesale,GHS,35,38.04,0.90256835,61.1,55.14692618
2/15/2006,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Yam,99,250 KG,actual,Wholesale,GHS,76.25,82.88,0.90256835,61.1,55.14692618
2/15/2006,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,218,7.58,-1.93,cereals and tubers,Cassava,68,91 KG,actual,Wholesale,GHS,13.5,14.67,0.90256835,61.1,55.14692618
2/15/2006,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,218,7.58,-1.93,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,14.91,16.21,0.90256835,61.1,55.14692618
2/15/2006,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,218,7.58,-1.93,cereals and tubers,Millet,73,93 KG,actual,Wholesale,GHS,36,39.13,0.90256835,61.1,55.14692618
2/15/2006,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,218,7.58,-1.93,cereals and tubers,Rice (local),71,50 KG,actual,Wholesale,GHS,22.38,24.33,0.90256835,61.1,55.14692618
2/15/2006,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,218,7.58,-1.93,cereals and tubers,Sorghum,65,109 KG,actual,Wholesale,GHS,32,34.78,0.90256835,61.1,55.14692618
2/15/2006,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,218,7.58,-1.93,cereals and tubers,Yam,99,250 KG,actual,Wholesale,GHS,70,76.09,0.90256835,61.1,55.14692618
2/15/2006,GREATER ACCRA,ACCRA METROPOLIS,Accra,209,5.55,-0.22,cereals and tubers,Cassava,68,91 KG,actual,Wholesale,GHS,13.75,14.95,0.90256835,61.1,55.14692618
2/15/2006,GREATER ACCRA,ACCRA METROPOLIS,Accra,209,5.55,-0.22,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,27.05,29.4,0.90256835,61.1,55.14692618
2/15/2006,GREATER ACCRA,ACCRA METROPOLIS,Accra,209,5.55,-0.22,cereals and tubers,Millet,73,93 KG,actual,Wholesale,GHS,54.38,59.11,0.90256835,61.1,55.14692618
2/15/2006,GREATER ACCRA,ACCRA METROPOLIS,Accra,209,5.55,-0.22,cereals and tubers,Rice (local),71,50 KG,actual,Wholesale,GHS,28,30.43,0.90256835,61.1,55.14692618
2/15/2006,GREATER ACCRA,ACCRA METROPOLIS,Accra,209,5.55,-0.22,cereals and tubers,Sorghum,65,109 KG,actual,Wholesale,GHS,50,54.35,0.90256835,61.1,55.14692618
2/15/2006,GREATER ACCRA,ACCRA METROPOLIS,Accra,209,5.55,-0.22,cereals and tubers,Yam,99,250 KG,actual,Wholesale,GHS,58.5,63.59,0.90256835,61.1,55.14692618
2/15/2006,NORTHERN,TAMALE NORTH SUB METRO,Tamale,220,9.4,-0.83,cereals and tubers,Cassava,68,91 KG,actual,Wholesale,GHS,13,14.13,0.90256835,61.1,55.14692618
2/15/2006,NORTHERN,TAMALE NORTH SUB METRO,Tamale,220,9.4,-0.83,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,20,21.74,0.90256835,61.1,55.14692618
2/15/2006,NORTHERN,TAMALE NORTH SUB METRO,Tamale,220,9.4,-0.83,cereals and tubers,Millet,73,93 KG,actual,Wholesale,GHS,29,31.52,0.90256835,61.1,55.14692618
2/15/2006,NORTHERN,TAMALE NORTH SUB METRO,Tamale,220,9.4,-0.83,cereals and tubers,Rice (local),71,50 KG,actual,Wholesale,GHS,19,20.65,0.90256835,61.1,55.14692618
2/15/2006,NORTHERN,TAMALE NORTH SUB METRO,Tamale,220,9.4,-0.83,cereals and tubers,Sorghum,65,109 KG,actual,Wholesale,GHS,21.75,23.64,0.90256835,61.1,55.14692618
2/15/2006,NORTHERN,TAMALE NORTH SUB METRO,Tamale,220,9.4,-0.83,cereals and tubers,Yam,99,250 KG,actual,Wholesale,GHS,57.5,62.5,0.90256835,61.1,55.14692618
